Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
3644,Text,2003-01-01,Vie de Molière,fr,"Voltaire, 1694-1778","Molière, 1622-1673",PQ,"FR Biographie, Mémoires, Journal intime, Correspondance; Browsing: Biographies; Browsing: Literature; Category: Biographies; Category: French Literature"
4648,Text,2003-11-01,Memnon ou la sagesse humaine,fr,"Voltaire, 1694-1778",French fiction -- 18th century,PQ,FR Littérature; Browsing: Language & Communication; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature; Category: Philosophy & Ethics
4649,Text,2003-11-01,Micromégas,fr,"Voltaire, 1694-1778",French fiction -- 18th century,PQ,Precursors of Science Fiction; FR Littérature; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction; Category: Science-Fiction & Fantasy; Category: French Literature; Category: Philosophy & Ethics
4651,Text,2003-11-01,L'Ingénu,fr,"Voltaire, 1694-1778",Satire; French fiction -- 18th century,PQ,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
4718,Text,2003-12-01,Histoire des voyages de Scarmentado,fr,"Voltaire, 1694-1778",Satire; French fiction -- 18th century,PQ,FR Littérature; Browsing: Humour; Browsing: Literature; Browsing: Fiction; Category: Humour; Category: Novels; Category: French Literature
4771,Text,2003-12-01,Le Blanc et le Noir,fr,"Voltaire, 1694-1778",French fiction -- 18th century,PQ,FR Littérature; Browsing: History - General; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
4772,Text,2003-12-01,Jeannot et Colin,fr,"Voltaire, 1694-1778",French fiction -- 18th century,PQ,FR Littérature; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
6099,Text,2004-07-01,Les Fleurs du Mal,fr,"Baudelaire, Charles, 1821-1867",French poetry -- 19th century,PQ,FR Poésie; Banned Books from Anne Haight's list; Browsing: Literature; Browsing: Poetry; Category: Poetry; Category: French Literature
6501,Text,2004-09-01,Supplément au Voyage de Bougainville,fr,"Diderot, Denis, 1713-1784","Philosophy; Sexual ethics; Bougainville, Louis-Antoine de, comte, 1729-1811. Voyage autour du monde",B; HQ,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Philosophy & Ethics; Category: French Literature; Category: Philosophy & Ethics
10746,Text,2004-01-01,Boule de Suif,fr,"Maupassant, Guy de, 1850-1893","France -- Social life and customs -- Fiction; Short stories, French",PQ,FR Nouvelles; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
10775,Text,2004-01-01,Le Horla,fr,"Maupassant, Guy de, 1850-1893","Short stories, French; French fiction -- 19th century",PQ,Gothic Fiction; FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
11131,Text,2004-02-01,Pierre et Jean,fr,"Maupassant, Guy de, 1850-1893",Inheritance and succession -- Fiction; France -- Social life and customs -- Fiction; Brothers -- Fiction; Normandy (France) -- Fiction; Sibling rivalry -- Fiction,PQ,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
11175,Text,2004-02-01,L'inutile beauté,fr,"Maupassant, Guy de, 1850-1893","Short stories, French; French fiction -- 19th century",PQ,FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
11199,Text,2004-02-01,Claire de Lune,fr,"Maupassant, Guy de, 1850-1893","Short stories, French; French fiction -- 19th century",PQ,FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
11450,Text,2004-03-01,Fort comme la mort,fr,"Maupassant, Guy de, 1850-1893",Paris (France) -- Fiction; Man-woman relationships -- Fiction; Jealousy -- Fiction; Painters -- France -- Fiction,PQ,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
11495,Text,2004-03-01,La Main Gauche,fr,"Maupassant, Guy de, 1850-1893","Short stories, French; French fiction -- 19th century",PQ,FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
11596,Text,2004-03-01,La Maison Tellier,fr,"Maupassant, Guy de, 1850-1893","Short stories, French; French fiction -- 19th century",PQ,FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
11597,Text,2004-03-01,Mlle Fifi: Nouveaux Contes,fr,"Maupassant, Guy de, 1850-1893","Short stories, French; French fiction -- 19th century",PQ,FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
11714,Text,2004-03-01,Contes de la Becasse,fr,"Maupassant, Guy de, 1850-1893","Short stories, French; French fiction -- 19th century",PQ,FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: Humour; Category: French Literature
13792,Text,2004-10-19,Journaux intimes,fr,"Baudelaire, Charles, 1821-1867","Baudelaire, Charles, 1821-1867 -- Diaries; Poets, French -- 19th century -- Diaries",PQ,"FR Biographie, Mémoires, Journal intime, Correspondance; Browsing: Biographies; Browsing: Journals; Browsing: Literature; Category: Biographies; Category: Essays, Letters & Speeches; Category: French Literature"
13862,Text,2004-10-25,Le neveu de Rameau,fr,"Diderot, Denis, 1713-1784","Dialogues, French",PQ,FR Littérature; Browsing: Language & Communication; Browsing: Literature; Browsing: Fiction; Category: French Literature; Category: Philosophy & Ethics
14790,Text,2005-01-24,Contes du jour et de la nuit,fr,"Maupassant, Guy de, 1850-1893","Short stories, French; French fiction -- 19th century",PQ,FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
14793,Text,2005-01-24,La vie errante,fr,"Maupassant, Guy de, 1850-1893",Mediterranean Sea -- Description and travel,D,FR Voyages et pays; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Travel & Geography; Category: Novels; Category: Travel Writing; Category: French Literature
15804,Text,2005-05-09,La mort de César: Tragédie,fr,"Voltaire, 1694-1778","Caesar, Julius -- Drama; Tragedies (Drama)",PQ,FR Théâtre; Browsing: Literature; Browsing: Performing Arts/Film; Browsing: Fiction; Category: Plays/Films/Dramas; Category: French Literature
17457,Text,2006-01-04,Une vie,fr,"Maupassant, Guy de, 1850-1893",Aristocracy (Social class) -- Fiction; France -- Social life and customs -- 19th century -- Fiction; Normandy (France) -- Fiction; Life -- Fiction; Women -- France -- Fiction,PQ,FR Littérature; Banned Books from Anne Haight's list; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
18353,Text,2006-05-08,La petite roque,fr,"Maupassant, Guy de, 1850-1893",French fiction -- 19th century,PQ,"FR Nouvelles; Browsing: History - British; Browsing: Literature; Browsing: Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature"
18543,Text,2006-06-09,Abrégé de l'Histoire universelle depuis Charlemagne jusques à Charlequint (Tome 1),fr,"Voltaire, 1694-1778","Europe -- History -- 476-1492; World history -- Early works to 1800; Europe -- History -- 1492-1648; France -- History -- To 987; France -- History -- Medieval period, 987-1515; France -- History -- 16th century",D,FR Histoire; Browsing: History - European; Browsing: History - General; Browsing: History - Medieval/The Middle Ages; Category: History - Other; Category: History - European; Category: History - Ancient; Category: History - Medieval/Middle Ages
23940,Text,2007-12-20,Un dilemme,fr,"Huysmans, J.-K. (Joris-Karl), 1848-1907",Rich people -- Fiction; Social classes -- Fiction; French fiction -- 19th century; Avarice -- Fiction; Paris (France) -- Social life and customs -- 19th century -- Fiction; Manipulative behavior -- Fiction,PQ,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
24260,Text,2008-01-12,Le temple de Gnide,fr,"Montesquieu, Charles de Secondat, baron de, 1689-1755; Nodier, Charles, 1780-1844 [Commentator]",Hedonism,PQ,"FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Philosophy & Ethics; Category: Poetry; Category: Romance; Category: Mythology, Legends & Folklore; Category: French Literature"
