Leo Tolstoy
Fyodor Dostoevsky
Anton Chekhov
Alexander Pushkin
Nikolai Gogol
Ivan Turgenev
Maxim Gorky
Ivan Bunin
Boris Pasternak
Anna Akhmatova
Osip Mandelstam
Marina Tsvetaeva
Sergei Yesenin
Vladimir Mayakovsky
Alexander Blok
Mikhail Lermontov
Nikolai Nekrasov
Aleksandr Solzhenitsyn
Varlam Shalamov
Vasily Grossman
Vladimir Nabokov
Andrei Tarkovsky
Andrei Platonov
Mikhail Bulgakov
Yevgeny Zamyatin
Isaac Babel
Ilya Ehrenburg
Konstantin Paustovsky
Mikhail Sholokhov
Leonid Andreev
Arkady Gaidar
Daniil Kharms
Sergei Dovlatov
Venedikt Yerofeyev
Viktor Pelevin
Tatyana Tolstaya
Lyudmila Ulitskaya
Vladimir Sorokin
Zakhar Prilepin
